river_id,pixel_count,area_m2,area_ha,min_row,max_row,min_col,max_col,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y
59,172020127,8659457035.363058,865945.7035363058,0,8003,0,36323,-162.11824067282274,59.415830533062916,-158.8552900663154,60.13475225494377
37,387059,19484468.70202921,1948.446870202921,0,2426,5913,14072,-161.58706684532285,59.91682096701637,-160.85413140500975,60.13475225494377
20154,83461,4201409.196892618,420.1409196892618,4088,4387,3688,4199,-161.78694199603945,59.74066133980054,-161.74103808502096,59.76752096679571
17918,83401,4198388.809504335,419.83888095043346,3262,3498,1889,2491,-161.94854891565257,59.82052156855876,-161.89447033554856,59.84172180926398
44,62659,3154240.889374613,315.4240889374613,0,308,7858,9218,-161.41234452256163,60.10708414419289,-161.29017364392135,60.13475225494377
9144,58342,2936924.016787591,293.6924016787591,1547,1855,0,473,-162.11824067282274,59.9681147697396,-162.07575035988387,59.99578288049048
7845,46412,2336370.3244171552,233.63703244171552,1301,1748,5029,5566,-161.66647791643902,59.977726743279675,-161.61823838568182,60.01788143647982
4261,45657,2298363.7831145837,229.83637831145836,695,1035,2576,4299,-161.88683465563355,60.0417766230374,-161.73205493217975,60.07231934269746
3205,45536,2292272.6685482115,229.22726685482115,525,674,3433,3861,-161.8098490357845,60.07420580479411,-161.77140114162418,60.08759070252749
31,45199,2275308.159384017,227.5308159384017,0,362,5160,6347,-161.65470998621706,60.102233241658645,-161.54807996199207,60.13475225494377
14790,44081,2219028.274382328,221.9028274382328,2480,2793,2958,3936,-161.85251901178017,59.88385279608919,-161.7646637769933,59.91197006448213
20924,43570,2193304.641792111,219.3304641792111,4326,4488,2801,3323,-161.86662256174085,59.73158835543093,-161.81973050390982,59.74614106303366
26294,43455,2187515.565964567,218.7515565964567,7354,7651,10996,11585,-161.1304531864049,59.44745123106392,-161.07754241617027,59.47413119500227
8254,41729,2100629.088761602,210.0629088761602,1379,1579,2649,3014,-161.88027695405947,59.9929082715813,-161.84748844618912,60.010874577263685
21344,38145,1920211.2821014477,192.02112821014478,4473,4708,2701,3166,-161.87560571458206,59.7118254191803,-161.8338340538705,59.73293582835711
23597,37963,1911049.4403569866,191.10494403569865,5527,5677,3152,3634,-161.83509169526826,59.62477866814912,-161.7917928985737,59.638253397410914
17153,35432,1783639.4323612137,178.36394323612137,2964,3149,2995,3335,-161.84919524522894,59.851872771974534,-161.81865252556887,59.86849160473074
5253,34440,1733702.3608749209,173.3702360874921,855,1299,4134,5197,-161.74687713436774,60.018061099536645,-161.65138621966582,60.05794629815155
2774,32817,1652000.8820218432,165.20008820218433,454,1478,14103,15728,-160.85134662762897,60.0019812559509,-160.70537039395956,60.09396874104474
8097,32762,1649232.193582583,164.9232193582583,1346,1579,0,521,-162.11824067282274,59.9929082715813,-162.07143844652012,60.01383901770128
23154,31879,1604782.1591850058,160.47821591850058,5217,5425,2697,3011,-161.8759650406957,59.64741621330893,-161.84775794077436,59.666101171218614
13364,31326,1576944.2554229898,157.69442554229897,2231,2470,2793,3132,-161.86734121396816,59.912868379766245,-161.8368883258365,59.934338115056704
26988,31149,1568034.1126275526,156.80341126275525,7718,8003,10304,12186,-161.192616604066,59.415830533062916,-161.02355366759468,59.44143251866032
14682,29823,1501283.55134648,150.128355134648,2462,2631,2245,2962,-161.9165688915379,59.898405503691926,-161.85215968566652,59.91358703199354
12258,28891,1454366.867248471,145.43668672484708,2049,2288,3183,3762,-161.83230691788748,59.92921771793722,-161.78029446293698,59.95068745322768
6677,28562,1437805.0764027145,143.78050764027145,1087,1258,2504,3022,-161.89330252567922,60.02174419220153,-161.8467697939618,60.037105383559975
18439,28154,1417266.4421623845,141.72664421623844,3481,3674,1358,1734,-161.99624945723932,59.80471121955826,-161.96247280255642,59.822048704541764
17877,26837,1350968.9389895543,135.09689389895544,3247,3368,2552,2869,-161.88899061231544,59.83219966725232,-161.86051401780884,59.843069282190164
12552,23719,1194009.4743784044,119.40094743784044,2099,2303,2756,3196,-161.8706649805194,59.92787024501104,-161.83113910801814,59.94619587680708
7426,23437,1179813.6536534703,117.98136536534703,1228,1452,5291,5916,-161.6429420559951,60.00431687568962,-161.58679735073764,60.02443913805389
24534,22868,1151170.3132545787,115.11703132545787,6258,6395,4001,4345,-161.75882472764653,59.560279630749335,-161.7279226818728,59.57258655014177
25095,22662,1140800.316554804,114.08003165548041,6711,6867,4449,4738,-161.71858020291796,59.517879149338896,-161.6926188912069,59.53189286777116
12823,22428,1129020.8057404973,112.90208057404973,2144,2549,6428,6919,-161.5408036081907,59.905771689021705,-161.49669632774044,59.94215345802854
14341,22007,1107827.7542327058,110.78277542327058,2407,2566,760,1211,-162.04996871122964,59.9042445530387,-162.00945469191586,59.9185277660562
8352,21442,1079385.7729930328,107.93857729930328,1401,2105,7303,8980,-161.46220102083024,59.94565688763661,-161.31155354768342,60.00889828363862
27308,21387,1076617.0845537728,107.66170845537728,7869,8003,8144,8470,-161.3866527054358,59.415830533062916,-161.3573676271735,59.42786795787012
13539,21151,1064736.8941598563,106.47368941598563,2260,2375,3194,3458,-161.83131877107496,59.92140237496538,-161.8076032475742,59.931733000732756
10073,20020,1007802.5918907061,100.7802591890706,1706,1939,2504,2979,-161.89330252567922,59.960568921352994,-161.85063254968352,59.98149966747298
24906,19891,1001308.7590058958,100.13087590058959,6580,6768,4257,4572,-161.73582785637305,59.52677247065168,-161.7075309249233,59.54366079799313
10710,18883,950566.2508827273,95.05662508827274,1805,1974,3459,3888,-161.8075134160458,59.95742481785857,-161.76897569035705,59.9726063461602
7231,18528,932695.6255020481,93.26956255020481,1190,1618,7720,8443,-161.42474127348245,59.98940484197323,-161.35979307844062,60.027852736133546
2643,17436,877724.5750352823,87.77245750352823,435,662,8765,9463,-161.33086732629198,60.075283783135056,-161.26816491946045,60.09567554008457
17460,17366,874200.7897489511,87.4200789748951,3093,3275,1789,2232,-161.95753206849375,59.84055399939463,-161.91773670140725,59.856903337565605
13327,17091,860357.3475526501,86.03573475526501,2224,2376,4180,4594,-161.74274488406078,59.92131254343697,-161.70555463129824,59.93496693575559
3710,15667,788673.4868707139,78.86734868707138,601,787,7106,7550,-161.47989783192742,60.064054842083564,-161.4400126333125,60.080763506368186
10260,15182,764258.6888154196,76.42586888154196,1735,1898,4900,5240,-161.67806618360416,59.96425201401789,-161.6475234639441,59.97889455314903
15246,14933,751724.0811540416,75.17240811540415,2561,2781,3772,4650,-161.77939614765285,59.88493077443013,-161.70052406570716,59.90469371068076
24138,14717,740850.6865562198,74.08506865562198,5885,6022,4147,4316,-161.74570932449836,59.59378679084699,-161.73052779619675,59.606093710239435
4725,14624,736169.0861043799,73.61690861043799,771,1028,4589,5236,-161.70600378894028,60.042405443736286,-161.64788279005776,60.065492146538155
16017,14351,722426.3234876884,72.24263234876885,2694,3127,2517,4675,-161.89213471580985,59.8538490655996,-161.69827827749685,59.89274611740197
19934,14283,719003.2177809668,71.90032177809668,4017,4177,4406,4611,-161.72244295863968,59.75952596076704,-161.70402749531522,59.773899005312956
22584,14043,706921.6682278314,70.69216682278314,4987,5125,2700,2988,-161.87569554611048,59.67436567183252,-161.84982406592783,59.68676242275336
7903,14030,706267.25096037,70.62672509603699,1312,1726,9150,10099,-161.29628218785336,59.97970303690474,-161.21103206739042,60.01689328966729
13534,14029,706216.9111705652,70.62169111705651,2259,2436,6656,7079,-161.52032201971278,59.91592265173225,-161.48232328319452,59.93182283226117
1516,13565,682859.2487011702,68.28592487011701,251,400,15599,15849,-160.7169586611247,60.09881964357899,-160.6945007790217,60.11220454131237
14037,13450,677070.1728736262,67.70701728736262,2353,2525,4834,5307,-161.68399506447935,59.90792764570359,-161.6415047515405,59.923378668590445
7530,13346,671834.8347339343,67.18348347339342,1245,1413,2884,3310,-161.85916654488267,60.007820305297685,-161.82089831377917,60.02291200207089
6525,13160,662471.6338302543,66.24716338302544,1059,1204,4287,4530,-161.7331329105207,60.02659509473578,-161.7113038491166,60.03962066635551
16776,12823,645507.1246660601,64.55071246660602,2851,2986,2052,2300,-161.9339063765214,59.86651531110568,-161.91162815747523,59.8786425674413
11081,12733,640976.5435836344,64.09765435836344,1863,2050,5799,6145,-161.59730763956182,59.950597621699266,-161.5662259307313,59.9673961175123
15111,12213,614799.8528851744,61.47998528851745,2536,2632,4457,4627,-161.71786155069066,59.89831567216351,-161.70259019086063,59.906939498891056
5786,12097,608960.4372678257,60.89604372678257,940,1166,3504,3835,-161.80347099726725,60.030008692815436,-161.7737367613629,60.05031061823654
17418,11905,599295.1976253175,59.92951976253175,3074,3180,1445,1684,-161.98843411426748,59.84908799459376,-161.966964378977,59.85861013660543
11505,11727,590334.7150400754,59.03347150400754,1931,2047,2570,2764,-161.88737364480403,59.950867116284506,-161.8699463282921,59.96128757358029
6643,11613,584595.9790023362,58.45959790023362,1081,1403,10431,10970,-161.18120799995765,60.0087186205818,-161.13278880614362,60.03764437273045
17225,11366,572162.0509205677,57.21620509205677,2990,3097,2529,2718,-161.89105673746892,59.85654401145195,-161.87407857859904,59.866155984992034
9963,11347,571205.5949142778,57.12055949142778,1689,2067,4628,5243,-161.70250035933222,59.94907048571626,-161.64725396935887,59.983026803455985
14523,11292,568436.9064750177,56.84369064750177,2435,2540,375,775,-162.08455384966825,59.90658017277741,-162.04862123830347,59.916012483260666
968,11249,566272.2955134142,56.62722955134142,156,294,4616,4999,-161.70357833767318,60.10834178559065,-161.6691728622914,60.1207385365115
6435,11248,566221.9557236094,56.622195572360944,1043,1193,1549,1742,-161.9790916353126,60.027583241548314,-161.9617541503291,60.0410579708101
8071,11090,558268.268934462,55.826826893446196,1342,1519,2446,2630,-161.8985127543271,59.998298163286016,-161.8819837530993,60.01419834381493
8707,11067,557110.4537689532,55.71104537689532,1467,1775,9227,9727,-161.28936516016566,59.97530129201255,-161.2444493959597,60.00296940276343
193,11047,556103.6579728586,55.610365797285866,26,177,13775,13942,-160.8808113689481,60.11885207441485,-160.8658095037033,60.13241663520506
903,10961,551774.4360496518,55.177443604965184,146,333,7792,8259,-161.4182734034368,60.10483835598259,-161.37632207966843,60.12163685179563
17143,10863,546841.1366487882,54.68411366487882,2959,3047,1369,1559,-161.99526131042677,59.86103558787255,-161.9781933200285,59.8689407623728
13546,10731,540196.2843945638,54.019628439456376,2262,2422,457,652,-162.07718766433848,59.91718029313002,-162.05967051629816,59.931553337675936
1724,10698,538535.0713310076,53.85350713310076,287,399,7529,8200,-161.44189909540916,60.0989094751074,-161.38162213984472,60.10897060628954
17720,10577,532443.9567646353,53.244395676463526,3188,3311,2910,3065,-161.85683092514395,59.837320064371795,-161.8429070382401,59.84836934236647
12188,10483,527712.0165229905,52.771201652299055,2039,2146,5303,5535,-161.64186407765416,59.94197379497172,-161.62102316306257,59.9515857685118
4014,10386,522829.0569119317,52.28290569119317,656,743,5500,5717,-161.624167266557,60.06800742933369,-161.60467382489162,60.07582277230553
8852,10264,516687.6025557546,51.66876025557546,1493,1681,3313,3618,-161.82062881919393,59.98374545568328,-161.7932302030283,60.000633783024725
17246,10257,516335.2240271215,51.63352240271215,2997,3157,1162,1421,-162.01385643680806,59.851154119747235,-161.99059007094937,59.86552716429315
14105,10191,513012.79790000926,51.301279790000926,2366,2552,3767,4261,-161.7798453052949,59.905502194436465,-161.7354685302594,59.922210858721094
13927,10162,511552.94399567205,51.155294399567204,2336,2491,5374,5689,-161.6354860391369,59.910981917669595,-161.60718910768713,59.92490580457345
27348,10003,503548.9174167199,50.35489174167199,7885,7985,3422,3617,-161.81083718259703,59.41744750057433,-161.7933200345567,59.42643065341553
13553,9847,495695.91020718194,49.56959102071819,2264,2358,2132,2393,-161.92671985424846,59.922929510948386,-161.90327382533295,59.93137367461911
20844,9531,479788.53662888706,47.9788536628887,4297,4392,3313,3702,-161.82062881919393,59.74021218215847,-161.7856843546417,59.74874617735761
16544,9521,479285.13873083977,47.92851387308398,2795,2882,3971,4418,-161.76151967349887,59.87585779006052,-161.72136498029874,59.88367313303236
17504,9472,476818.489030408,47.681848903040795,3111,3222,2195,2496,-161.9210604679585,59.84531507040046,-161.8940211779065,59.85528637005419
9202,9412,473798.1016421241,47.379810164212415,1555,1644,2344,2707,-161.9076755702251,59.98706922223452,-161.87506672541159,59.99506422826318
3862,9365,471432.1315213018,47.14321315213018,627,800,8809,9334,-161.32691473904185,60.062887032214206,-161.27975318662558,60.07842788662948
8543,9312,468764.1226616511,46.87641226616511,1439,1625,5618,6079,-161.6135671462044,59.98877602127435,-161.57215481160648,60.00548468555897
12241,9283,467304.2687573139,46.73042687573139,2046,2114,2374,2561,-161.90498062437277,59.944848403880904,-161.88818212855972,59.95095694781291
13814,9233,464787.2792670774,46.47872792670774,2312,2453,2307,2502,-161.91099933677637,59.91439551574925,-161.89348218873604,59.92706176125534
15839,9130,459602.28091719013,45.96022809171901,2664,2749,5217,5366,-161.6495895890976,59.88780538333931,-161.6362046913642,59.89544106325433
7120,9123,459249.902388557,45.9249902388557,1170,1419,4510,4708,-161.71310047968484,60.00728131612721,-161.69531383705927,60.02964936670178
11695,8979,452000.9726566758,45.20009726566758,1960,2085,3044,3344,-161.84479350033675,59.94745351820485,-161.81784404181317,59.958682459256345
26849,8662,436043.2592885762,43.60432592885762,7627,7981,4159,4707,-161.74463134615743,59.41780682668798,-161.6954036685877,59.44960718774581
15073,8652,435539.8613905289,43.55398613905289,2530,2657,5173,5400,-161.6535421763477,59.89606988395321,-161.6331504193982,59.90747848806153
10926,8516,428693.64997708553,42.86936499770855,1839,1908,2442,2622,-161.89887208044075,59.96335369873376,-161.8827024053266,59.96955207419419
4486,8499,427837.87355040514,42.783787355040516,730,858,678,867,-162.05733489655944,60.057676803566316,-162.04035673768956,60.06917523920305
24799,8258,415705.9842074651,41.57059842074651,6487,6567,4290,4634,-161.73286341593547,59.54482860786248,-161.70196137016174,59.55201513013544
26650,8158,410672.005226992,41.0672005226992,7527,7641,3472,3705,-161.80634560617645,59.44834954634804,-161.78541486005645,59.45859034058701
11144,8131,409312.8309022643,40.93128309022643,1873,2038,6162,6332,-161.5646987947483,59.95167560004021,-161.54942743491824,59.96649780222818
17588,8118,408658.4136348028,40.86584136348028,3140,3305,3722,3953,-161.78388772407345,59.83785905354227,-161.76313664101028,59.85268125573024
22346,7881,396727.88345108164,39.67278834510817,4904,5028,2615,2818,-161.8833312260255,59.683079330088475,-161.86509542575786,59.694218439611554
3048,7864,395872.1070244012,39.58721070244012,503,604,5015,5207,-161.6677355578368,60.08049401178295,-161.6504879043817,60.089566996152556
1587,7798,392549.680897289,39.2549680897289,267,346,478,640,-162.07530120224183,60.103670546113236,-162.06074849463909,60.110767236857775
444,7744,389831.33224783355,38.98313322478335,68,253,14663,14872,-160.8010409717183,60.112024878255546,-160.78226618228018,60.128643711011755
16643,7634,384293.9553693132,38.42939553693132,2820,2978,2675,2905,-161.87794133432075,59.86723396333298,-161.85728008278602,59.881427344822065
15902,7628,383991.9166304848,38.399191663048484,2674,2922,341,519,-162.08760812163425,59.87226452892405,-162.07161810957695,59.89454274797021
22755,7608,382985.12083439017,38.298512083439014,5041,5235,3162,3959,-161.83419337998416,59.664484203707204,-161.76259765183983,59.68191152021912
3393,7455,375283.1329942664,37.52831329942664,554,683,6657,6966,-161.52023218818437,60.07339732103841,-161.49247424590507,60.08498558820355
24696,7442,374628.7157268049,37.46287157268049,6381,6445,4050,4350,-161.75442298275433,59.55578805432874,-161.72747352423073,59.561537272147106
8605,7407,372866.8230836393,37.28668230836393,1449,1582,3757,4275,-161.78074362057905,59.99263877699606,-161.73421088886164,60.00458637027485
21840,7384,371709.00791813055,37.170900791813054,4665,4789,5019,5251,-161.66737623172315,59.704549065378934,-161.64653531713157,59.71568817490201
6585,7281,366524.0095682433,36.65240095682433,1069,1232,8438,8703,-161.36024223608268,60.02407981194025,-161.33643688105352,60.03872235107139
24784,7160,360432.8950018709,36.043289500187086,6473,6561,4044,4212,-161.7549619719248,59.54536759703295,-161.7398702751516,59.5532727715332
11248,7146,359728.1379446047,35.97281379446047,1893,1966,3912,4112,-161.7668197336752,59.95814347008587,-161.7488534279928,59.96470117165995
6211,6920,348351.3454487356,34.835134544873554,1006,1073,4194,4337,-161.741487242663,60.03836302495775,-161.7286413341001,60.04438173736135
25403,6917,348200.3260793214,34.82003260793214,6861,6912,16516,16737,-160.63458314957094,59.51383673056036,-160.6147303817919,59.51841813850937
14,6880,346337.75385654636,34.63377538565464,0,55,3212,3453,-161.82970180356355,60.12981152088111,-161.80805240521627,60.13475225494377
16151,6841,344374.50205416186,34.437450205416184,2720,2796,1963,2193,-161.94190138255007,59.883583301503954,-161.92124013101534,59.89041049766326
13580,6836,344122.8031051382,34.41228031051382,2269,2404,7108,7450,-161.4797181688706,59.91879726064143,-161.4489957861537,59.93092451697705
7012,6726,338585.4262266178,33.85854262266178,1148,1420,6968,7439,-161.49229458284825,60.0071914845988,-161.44998393296623,60.031625660326846
14959,6681,336320.13568540494,33.63201356854049,2509,2641,5415,5937,-161.63180294647202,59.89750718840781,-161.58491088864096,59.909364950158185
9285,6675,336018.09694657655,33.60180969465765,1570,1942,5016,5522,-161.6676457263084,59.96029942676776,-161.62219097293195,59.993716755337005
18588,6647,334608.5828320441,33.46085828320441,3549,3694,1803,2118,-161.956274427096,59.80291458899002,-161.92797749564622,59.81594016060975
6997,6600,332242.6127112218,33.22426127112218,1145,1220,4062,4216,-161.75334500441338,60.02515779028119,-161.73951094903794,60.031895154912085
20775,6583,331386.83628454135,33.13868362845413,4282,4511,5027,5488,-161.66665757949585,59.72952223027745,-161.62524524489794,59.75009365028379
9564,6358,320060.38357847696,32.00603835784769,1619,1868,10754,10971,-161.1521924162806,59.96694695987024,-161.1326989746152,59.98931501044482
6047,6343,319305.286731406,31.9305286731406,977,1159,4876,5148,-161.68022214028605,60.030637513514314,-161.65578796455802,60.04698685168529
6763,6337,319003.2479925776,31.90032479925776,1105,1285,3306,3828,-161.82125763989282,60.01931874093441,-161.7743655820618,60.035488416048565
14060,6203,312257.7161587437,31.225771615874372,2358,2452,2464,2599,-161.8968957868157,59.91448534727766,-161.88476853048007,59.922929510948386
12478,6189,311552.9591014775,31.155295910147753,2087,2190,4778,4950,-161.68902563007043,59.9380212077216,-161.67357460718358,59.947273855148026
18216,6188,311502.61931167275,31.150261931167275,3392,3509,3343,3570,-161.8179338733416,59.81953342174623,-161.79754211639207,59.83004371057043
24931,6183,311250.92036264914,31.125092036264913,6594,6656,4148,4316,-161.74561949296995,59.53683360183382,-161.73052779619675,59.542403156595356
22088,6173,310747.52246460185,31.074752246460186,4770,4917,4791,5286,-161.68785782020106,59.6930506297422,-161.64339121363716,59.70625586441876
9189,6169,310546.1633053829,31.054616330538288,1553,1671,2771,2905,-161.86931750759322,59.984643770967395,-161.85728008278602,59.99524389132001
26213,6048,304455.04873901047,30.445504873901047,7291,7370,9426,9663,-161.27148868601168,59.47269389054768,-161.25019861377805,59.47979058129223
19828,6012,302642.8163060402,30.26428163060402,3979,4062,5007,5185,-161.66845421006408,59.769856586534424,-161.65246419800675,59.77731260339261
20645,5983,301182.962401703,30.1182962401703,4240,4323,4555,4695,-161.7090580609063,59.7464105576189,-161.69648164692862,59.753866574477094
26762,5983,301182.962401703,30.1182962401703,7580,7647,15359,15521,-160.73851822794356,59.44781055717757,-160.72396552034084,59.45382926958117
7302,5960,300025.1472361942,30.002514723619424,1203,1359,3254,3587,-161.82592887937025,60.01267120783193,-161.79601498040907,60.02668492626419
10113,5915,297759.85669498134,29.775985669498134,1712,2074,6851,7296,-161.50280487167245,59.948441665017384,-161.46282984152913,59.98096067830251
3018,5841,294034.7122494313,29.40347122494313,497,586,4781,4897,-161.6887561354852,60.08211097929436,-161.6783356781894,60.09010598532303
507,5789,291417.0431795853,29.14170431795853,81,149,4645,4884,-161.70097322334922,60.12136735721039,-161.67950348805877,60.127475901142404
18274,5766,290259.2280140765,29.02592280140765,3414,3596,6817,7335,-161.50585914363845,59.81171807877439,-161.45932641192107,59.828067416945366
22196,5739,288900.05368934874,28.890005368934876,4824,4961,5120,5757,-161.65830324735353,59.68909804249208,-161.60108056375512,59.70140496188451
20317,5738,288849.71389954403,28.884971389954405,4135,4221,5531,5893,-161.62138248917623,59.75557337351692,-161.5888634758911,59.76329888496035
9814,5731,288497.3353709109,28.849733537091087,1660,1736,16537,16689,-160.6326966874743,59.97880472162062,-160.61904229515568,59.985631917779926
18970,5728,288346.31600149674,28.834631600149674,3686,3762,1808,1984,-161.95582526945392,59.796806045058005,-161.94001492045342,59.80363324121731
10654,5710,287440.1997850116,28.744019978501157,1795,1969,763,1103,-162.04969921664443,59.95787397550064,-162.01915649698435,59.973504661444316
20627,5703,287087.82125637843,28.708782125637843,4234,4357,14039,14310,-160.85709584544733,59.743356285652894,-160.8327515012477,59.754405563647566
16113,5667,285275.5888234081,28.527558882340813,2713,2823,576,740,-162.06649771245745,59.88115785023683,-162.0517653417979,59.89103931836215
932,5664,285124.5694539939,28.512456945399393,150,246,8284,8395,-161.37407629145812,60.11265369895443,-161.3641049918044,60.121277525681975
4914,5660,284923.210294775,28.492321029477502,802,903,5838,6055,-161.59380420995376,60.05363438478778,-161.57431076828837,60.06270736915739
7518,5614,282607.5799637574,28.26075799637574,1243,1554,10841,11093,-161.14437707330876,59.995154059791595,-161.12173952814896,60.023091665127716
9894,5588,281298.74542883446,28.129874542883446,1677,1734,3362,3499,-161.81622707430176,59.978984384677446,-161.80392015490932,59.98410478179692
7143,5438,273747.7769581248,27.374777695812483,1174,1387,9579,9872,-161.25774446216465,60.01015592503639,-161.23142382433994,60.02929004058814
13481,5425,273093.35969066335,27.309335969066336,2250,2335,3947,4151,-161.76367563018076,59.92499563610186,-161.7453499983847,59.93263131601688
10239,5412,272438.94242320186,27.243894242320188,1732,1950,4332,4615,-161.72909049174217,59.95958077454046,-161.70366816920156,59.979164047734265
20669,5405,272086.56389456877,27.208656389456877,4249,4358,2337,2559,-161.908304390924,59.74326645412448,-161.88836179161655,59.75305809072138
11760,5395,271583.1659965214,27.158316599652142,1970,2043,3480,3710,-161.80562695394914,59.95122644239815,-161.78496570241438,59.957784143972226
1806,5368,270223.9916717937,27.02239916717937,300,385,7257,7528,-161.4663332711372,60.10016711650517,-161.44198892693757,60.10780279642018
4052,5196,261565.54782538005,26.156554782538006,661,719,8556,8870,-161.34964211573006,60.07016338601558,-161.32143501580873,60.07537361466347
21258,5193,261414.52845596586,26.141452845596586,4440,4501,4744,4866,-161.69207990203643,59.73042054556157,-161.68112045557018,59.7359002687947
9383,5192,261364.18866616112,26.13641886661611,1590,1762,3672,4170,-161.78837930049406,59.97646910188191,-161.7436431993449,59.99192012476877
3993,5192,261364.18866616112,26.13641886661611,653,735,2585,2763,-161.88602617187783,60.06872608156098,-161.8700361598205,60.07609226689077
23016,5167,260105.69392104287,26.010569392104287,5147,5294,7002,7387,-161.48924031088225,59.659184143530894,-161.45465517244364,59.672389378207455
26887,5139,258696.1798065104,25.86961798065104,7651,7726,8861,9004,-161.32224349956442,59.44071386643303,-161.30939759100153,59.44745123106392
2947,5129,258192.7819084631,25.819278190846312,482,554,6765,6928,-161.51053038311588,60.08498558820355,-161.49588784398472,60.09145345824921
